noise,alpha,h,rmse_plain,rmse_hybrid,mae_plain,mae_hybrid,pr_plain,pr_hybrid,roc_plain,roc_hybrid,f1_plain,f1_hybrid,prec_plain,prec_hybrid,rec_plain,rec_hybrid,rmse_gain_%
red,1.0,10,0.8303727837705015,0.46541015769193955,0.573374196859768,0.3233604062047967,0.31465473418024775,0.31636104147235117,0.5829133429668354,0.5820503427981087,0.3019174656784007,0.31738466684051375,0.3491666666666666,0.3666666666666667,0.26607189130028835,0.27993043837021353,43.9516604122505
red,1.0,25,1.3214480581990957,0.6477090691903351,1.0448472306098218,0.5096919246497604,0.2697177760854634,0.2678875883108288,0.4957617709101288,0.4970465702115587,0.2209737044157709,0.2132112251996332,0.25666666666666665,0.24750000000000003,0.1940999042886621,0.18737216823764838,50.98490136093203
blue,1.0,2,1.0993729860680457,1.0617391802574472,0.8720714061442253,0.8454640542363907,0.2931045094272813,0.2800517834825926,0.5250768712185611,0.5172865061696328,0.255045417469256,0.24552275945768234,0.295,0.2841666666666666,0.22473769412058633,0.21624216106964367,3.423206344663553
blue,1.0,5,1.1780075047059178,1.0899567313279024,0.9255677068494932,0.8640780004468088,0.29221893674613375,0.28186786348528564,0.5267236018782293,0.5134950246757602,0.2563149672783316,0.24406779700359157,0.29666666666666663,0.2825,0.2257436388763163,0.21495282879798353,7.4745511404867235
blue,1.0,10,1.3121208515398723,1.139908385815809,1.031811344292875,0.9023057682451103,0.2730281010630116,0.27531620174177956,0.5118111047208913,0.5069175843891216,0.23824672603928343,0.23396211653923485,0.2758333333333333,0.2708333333333333,0.2097820457933847,0.20603418244200622,13.124741179286886
blue,1.0,25,1.5072994230447943,1.1921996558053563,1.1962217760000327,0.9478938681588026,0.2595122826383591,0.27020006705728156,0.49434176072748753,0.5043290343303647,0.21440019942859764,0.23676486805400576,0.24833333333333332,0.27416666666666667,0.18873168526792672,0.20845597503762084,20.904921903501172
violet,1.0,2,1.0298541439327042,1.0131947251085747,0.8185724073427926,0.8072386516784821,0.29844503134256706,0.2883229109505535,0.5318245425491291,0.5253463993283777,0.26437451343940427,0.2535338129255644,0.30583333333333335,0.29333333333333333,0.23293216012225978,0.22335789505609252,1.6176483749933999
violet,1.0,5,1.1452155099662487,1.0764436696622097,0.8997387638781932,0.8538446157750167,0.2953930789803883,0.28779612005157623,0.52710117143236,0.5212547308344685,0.25993138682552736,0.258372919467927,0.30083333333333334,0.2991666666666667,0.22893764773905487,0.22748859732173413,6.005143984302636
violet,1.0,10,1.2885798346594852,1.1340889617710774,1.0082798240097282,0.8974411867708115,0.2753725610088737,0.28043246711297765,0.5135996121035297,0.5138200544423799,0.2404998701495865,0.23990389169326753,0.2783333333333333,0.28214025500910744,0.21183160719473967,0.20870331377816012,11.989235647881523
violet,1.0,25,1.501221472109971,1.1934062083506973,1.1942520953486881,0.9487961782356072,0.2565397701348826,0.27244892163481466,0.4877836214009625,0.5067808368199606,0.21227215738380778,0.2312513757959244,0.24583333333333335,0.2727595628415301,0.18687789078762326,0.20119275374001908,20.504320613442765
el_nino,1.0,2,0.5733480973352286,0.4537566048067312,0.4540560281895829,0.3643597957361493,0.31795486142833324,0.30476412826552196,0.5480459917861515,0.5392281476915511,0.28575191927368376,0.2814791276599466,0.33083333333333337,0.32583333333333336,0.25161567944428387,0.24788264942828941,20.858444125711287
el_nino,1.0,5,0.914102043270168,0.59294067640356,0.7190546242856257,0.47266731308053456,0.30553640155846784,0.30092294897397714,0.5454607171907906,0.5418035862570799,0.2726963793357022,0.2799826007611304,0.31583333333333335,0.32416666666666666,0.24005334280754007,0.2465247555125153,35.134082592974465
el_nino,1.0,10,1.2332582455128716,0.6880271001591401,0.972432666727412,0.5447220969644001,0.2661374337857116,0.2656267059264725,0.5070837135123175,0.5008315945645392,0.22506608403578862,0.23104567211392504,0.2608333333333333,0.2675,0.19802394223558942,0.20344137427201472,44.21062233619915
el_nino,1.0,25,1.5599032302890048,0.7885411764456776,1.251706643307821,0.6298115208084651,0.26766250954216964,0.26682766400265895,0.5070176282755975,0.501196273132762,0.23234333860213255,0.22812066956086804,0.2691666666666667,0.26416666666666666,0.2044975114298068,0.20084080457997486,49.44935293841377
