noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
blue,2.0,binary,2,0.6138608870967741,0.4079601990049751,0.46476472281076053
blue,2.0,signed,2,0.5217571257893838,0.4368421801217501,
blue,2.0,binary,3,0.5312312740761878,0.4290322580645161,0.501846496257689
blue,2.0,signed,3,0.4989124878328887,0.34253386369218486,
blue,2.0,binary,4,0.5790989634402577,0.36681222707423583,0.4096303336669457
blue,2.0,signed,4,0.4996582832148715,0.386171685392358,
blue,2.0,binary,5,0.5852535369099314,0.37573385518590996,0.3741334674940777
blue,2.0,signed,5,0.5553592720018973,0.3755937136866712,
blue,2.0,binary,6,0.546021377672209,0.4463667820069204,0.49708108922281663
blue,2.0,signed,6,0.4912880203954475,0.3804989172813038,
blue,2.0,binary,7,0.58458688111006,0.41697416974169743,0.4827035913118521
blue,2.0,signed,7,0.5567880794701986,0.39098416792613566,
blue,2.0,binary,8,0.4786557434813249,0.30689655172413793,0.21272463532367775
blue,2.0,signed,8,0.40373181069562064,0.2503724255540684,
blue,2.0,binary,9,0.5859990763546797,0.41995841995842,0.4888055645885237
blue,2.0,signed,9,0.5532391271663659,0.43578641092638853,
blue,3.142,binary,0,0.5703521785618818,0.38257575757575757,0.3049554933189871
blue,3.142,signed,0,0.531840286150631,0.365696725456841,
blue,3.142,binary,1,0.5582651466396985,0.40998217468805703,0.40832308973992243
blue,3.142,signed,1,0.5329837623388834,0.3751908045977011,
blue,3.142,binary,2,0.588054435483871,0.38497652582159625,0.386565450473241
blue,3.142,signed,2,0.49793906810035843,0.4067333646776263,
blue,3.142,binary,3,0.49560564987872735,0.4080370942812983,0.37425459521152094
blue,3.142,signed,3,0.4444358078378372,0.28807039521325234,
blue,3.142,binary,4,0.5353515898585236,0.33852140077821014,0.31707734492047723
blue,3.142,signed,4,0.456305813741571,0.3257637979109171,
blue,3.142,binary,5,0.5614231685109959,0.36200716845878134,0.28115190471816764
blue,3.142,signed,5,0.48391178773436255,0.309562996098588,
blue,3.142,binary,6,0.510550737446832,0.43037974683544306,0.42064594670293654
blue,3.142,signed,6,0.43002005262112525,0.30684380556016927,
blue,3.142,binary,7,0.5486203090507726,0.39666666666666667,0.44339359007284745
blue,3.142,signed,7,0.5032468727005152,0.3217342707775567,
blue,3.142,binary,8,0.5188336856941508,0.33865814696485624,0.29240978087908864
blue,3.142,signed,8,0.46468160927379176,0.2443569807547332,
blue,3.142,binary,9,0.556881157635468,0.3976143141153082,0.37405032930965887
blue,3.142,signed,9,0.5219022788985476,0.40147699199079906,
violet,1.0,binary,0,0.5914528201015772,0.39925373134328357,0.601814415675525
violet,1.0,signed,0,0.5844328085707396,0.3912162150800362,
violet,1.0,binary,1,0.7681958873463883,0.6028708133971292,0.7404885832069612
violet,1.0,signed,1,0.7730508638007908,0.6443262617310296,
violet,1.0,binary,2,0.6569388440860215,0.45112781954887216,0.6165490667398271
violet,1.0,signed,2,0.621573647380099,0.5012328749148437,
violet,1.0,binary,3,0.5798473391353973,0.45714285714285713,0.676165797179433
violet,1.0,signed,3,0.5743695860731217,0.4338106597700291,
violet,1.0,binary,4,0.7429699537750385,0.5724907063197026,0.6171119334304185
violet,1.0,signed,4,0.657258064516129,0.6282913727966076,
violet,1.0,binary,5,0.7481790166690012,0.5340599455040872,0.6574767355151891
violet,1.0,signed,5,0.7357140768608493,0.5963118400304329,
violet,1.0,binary,6,0.6670372313981108,0.5424430641821946,0.6603821318468465
violet,1.0,signed,6,0.6365887144827812,0.5414458573023523,
violet,1.0,binary,7,0.6941185745821508,0.5100671140939598,0.6521842169864667
violet,1.0,signed,7,0.7093727005150846,0.5567671893299029,
violet,1.0,binary,8,0.5486169837914023,0.35334476843910806,0.41874124756367426
violet,1.0,signed,8,0.5377351391139321,0.33497972945745785,
